"Code","SiteCode","Level","Pcode","Province_EN","Province_TH","Dcode","Distinct_EN","Distinct_TH","Scode","SubDistinct_EN","SubDistinct_TH","Zone","Name_TH","Name_EN","Htype","HType2","Hsize","P_Funded","Focus","Prioritization","CDC","NEAB","x","y"
"04883","04883","Site/Hospital","P38","Bueng Kan","บึงกาฬ","3805","Pak Khat","อ.ปากคาด","380505",NULL,NULL,"Z08","รพ.สต.บ้านสมสนุก","Ban Somsanook Health Promotion","Public","Sub-district H","SS","Domestic only","Non-PF",NULL,NULL,NULL,"103.39785661","18.233856112"
"08500","08500","Site/Hospital","P74","Samut Sakhon","สมุทรสาคร","7403","Ban Phaeo","อ.บ้านแพ้ว","740312",NULL,NULL,"Z05","รพ.สต.ตำบลบ้านดอนโฆ","Ban Rang Ton health promotion","Public","Health Center","SS","Domestic only","Non-PF",NULL,NULL,NULL,NULL,NULL
"08508","08508","Site/Hospital","P74","Samut Sakhon","สมุทรสาคร","7403","Ban Phaeo","อ.บ้านแพ้ว","740312",NULL,NULL,"Z05","รพ.สต.ตำบลบ้านคลองตัน","Ban klongtan health promotion","Public","Health Center","SS","Domestic only","Non-PF",NULL,NULL,NULL,"13.662699","100.164944"
"10660","10660","Site/Hospital","P14","Phra Nakhon Si Ayutthaya","อยุธยา","1401","Phra Nakhon Si Ayutthaya","อ.พระนครศรีอยุธยา","140101",NULL,NULL,"Z04","รพ.พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"100.560540985625","14.3430506468397"
"10661","10661","Site/Hospital","P19","Saraburi","สระบุรี","1901","Mueang Saraburi","อ.เมืองสระบุรี","190101",NULL,NULL,"Z04","รพ.สระบุรี","Saraburi","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.915328398146","14.5348727039065"
"10662","10662","Site/Hospital","P20","Chon Buri","ชลบุรี","2001","Mueang Chon Buri","อ.เมืองชลบุรี","200105",NULL,NULL,"Z06","รพ.ชลบุรี","Chon Buri","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"USAID","USAID","100.982690475483","13.3518154753144"
"10663","10663","Site/Hospital","P21","Rayong","ระยอง","2101","Mueang Rayong","อ.เมืองระยอง","210101",NULL,NULL,"Z06","รพ.ระยอง","Rayong","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"101.276529295415","12.681843399261"
"10664","10664","Site/Hospital","P22","Chanthaburi","จันทบุรี","2201","Mueang Chanthaburi","อ.เมืองจันทบุรี","220102",NULL,NULL,"Z06","รพ.พระปกเกล้า","Prapokklao","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"102.102858021029","12.6039373491347"
"10665","10665","Site/Hospital","P25","Prachin Buri","ปราจีนบุรี","2501","Mueang Prachin Buri","อ.เมืองปราจีนบุรี","250105",NULL,NULL,"Z06","รพ.เจ้าพระยาอภัยภูเบศร","Chaopraya Abhaiphubej","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"101.396169999999","14.05438"
"10666","10666","Site/Hospital","P30","Nakhon Ratchasima","นครราชสีมา","3001","Mueang Nakhon Ratchasima","อ.เมืองนครราชสีมา","300101",NULL,NULL,"Z09","รพ.มหาราชนครราชสีมา","Maharat Nakhon Ratchasema","Public","Regional H","LL","Add-on PEPFAR","PF-1",NULL,"CDC",NULL,"102.10201532","14.982571136"
"10667","10667","Site/Hospital","P31","Buri Ram","บุรีรัมย์","3101","Mueang Buri Ram","อ.เมืองบุรีรัมย์","310101",NULL,NULL,"Z09","รพ.บุรีรัมย์","Buri Ram","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"103.100561694471","15.005387159946"
"10668","10668","Site/Hospital","P32","Surin","สุรินทร์","3201","Mueang Surin","อ.เมืองสุรินทร์","320101",NULL,NULL,"Z09","รพ.สุรินทร์","Surin","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"14.876423243","103.50322074"
"10669","10669","Site/Hospital","P34","Ubon Ratchathani","อุบลราชธานี","3401","Mueang Ubon Ratchathani","อ.เมืองอุบลราชธานี","340101",NULL,NULL,"Z10","รพ.สรรพสิทธิประสงค์","Sappasitthiprasong","Public","Regional H","LL","Add-on PEPFAR","PF-1",NULL,"USAID","MOPH","104.86496715","15.236095812"
"10670","10670","Site/Hospital","P40","Khon Kaen","ขอนแก่น","4001","Mueang Khon Kaen","อ.เมืองขอนแก่น","400101",NULL,NULL,"Z07","รพ.ขอนแก่น","Khon Khan RH","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"CDC","MOPH","102.849327","16.42904700000001"
"10671","10671","Site/Hospital","P41","Udon Thani","อุดรธานี","4101","Mueang Udon Thani","อ.เมืองอุดรธานี","410101",NULL,NULL,"Z08","รพ.อุดรธานี","Udornthani RH","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"CDC","MOPH","102.78017879","17.41520452"
"10672","10672","Site/Hospital","P52","Lampang","ลำปาง","5201","Mueang Lampang","อ.เมืองลำปาง","520102",NULL,NULL,"Z01","รพ.ลำปาง","Lampang RH","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.50434438884258","18.28805200229252"
"10673","10673","Site/Hospital","P53","Uttaradit","อุตรดิตถ์","5301","Mueang Uttaradit","อ.เมืองอุตรดิตถ์","530101",NULL,NULL,"Z02","รพ.อุตรดิตถ์","Uttaradit","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.087213954668","17.61884122049"
"10674","10674","Site/Hospital","P57","Chiang Rai","เชียงราย","5701","Mueang Chiang Rai","อ.เมืองเชียงราย","570101",NULL,NULL,"Z01","รพ.เชียงรายประชานุเคราะห์","Chiangrai Prachanukroh","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"USAID","MOPH","99.8292191900409","19.9016582993946"
"10675","10675","Site/Hospital","P60","Nakhon Sawan","นครสวรรค์","6001","Mueang Nakhon Sawan","อ.เมืองนครสวรรค์","600101",NULL,NULL,"Z03","รพ.สวรรค์ประชารักษ์","Sawanpracharak","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"100.1388168334961","15.707423210144043"
"10676","10676","Site/Hospital","P65","Phitsanulok","พิษณุโลก","6501","Mueang Phitsanulok","อ.เมืองพิษณุโลก","650101",NULL,NULL,"Z02","รพ.พุทธชินราช","Buddhachinaraj","Public","Regional H","LL","Add-on GF","Non-PF",NULL,NULL,NULL,"100.26401454","16.809708992"
"10677","10677","Site/Hospital","P70","Ratchaburi","ราชบุรี","7001","Mueang Ratchaburi","อ.เมืองราชบุรี","700101",NULL,NULL,"Z05","รพ.ราชบุรี","Ratchaburi","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"99.81515039788326","13.53076830524345"
"10678","10678","Site/Hospital","P72","Suphan Buri","สุพรรณบุรี","7201","Mueang Suphan Buri","อ.เมืองสุพรรณบุรี","720101",NULL,NULL,"Z05","รพ.เจ้าพระยายมราช","Chaopraya Yommaraj","Public","Regional H","L","Domestic only","Non-PF",NULL,NULL,NULL,"100.116082726057","14.4664964823521"
"10679","10679","Site/Hospital","P73","Nakhon Pathom","นครปฐม","7301","Mueang Nakhon Pathom","อ.เมืองนครปฐม","730101",NULL,NULL,"Z05","รพ.นครปฐม","Nakorn Pathom","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"100.07499873","13.819631775"
"10680","10680","Site/Hospital","P80","Nakhon Si Thammarat","นครศรีธรรมราช","8001","Mueang Nakhon Si Thammarat","อ.เมืองนครศรีธรรมร","800101",NULL,NULL,"Z11","รพ.มหาราชนครศรีธรรมราช","Maharaj Nakorn Srithammarat","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"99.971581983","8.3909884349"
"10681","10681","Site/Hospital","P84","Surat Thani","สุราษฎร์ธานี","8401","Mueang Surat Thani","อ.เมืองสุราษฎร์ธาน","840102",NULL,NULL,"Z11","รพ.สุราษฎร์ธานี","Surat Thani","Public","Regional H","L","Add-on GF","Non-PF",NULL,NULL,NULL,"99.310401645","9.1234123737"
"10682","10682","Site/Hospital","P90","Songkhla","สงขลา","9011","Hat Yai","อ.หาดใหญ่","901101",NULL,NULL,"Z12","รพ.หาดใหญ่","Hatyai","Public","Regional H","L","Add-on PEPFAR","PF-1",NULL,"USAID","USAID","100.46693550717","7.01659353159476"
